2023-12-04 09:43:23 startup archives install
2023-12-04 09:43:23 install base-passwd:arm64 <none> 3.6.2
2023-12-04 09:43:23 status half-installed base-passwd:arm64 3.6.2
2023-12-04 09:43:23 status unpacked base-passwd:arm64 3.6.2
2023-12-04 09:43:23 configure base-passwd:arm64 3.6.2 3.6.2
2023-12-04 09:43:23 status half-configured base-passwd:arm64 3.6.2
2023-12-04 09:43:28 status installed base-passwd:arm64 3.6.2
2023-12-04 09:43:28 startup archives install
2023-12-04 09:43:28 install base-files:arm64 <none> 1:2023.4.0
2023-12-04 09:43:28 status half-installed base-files:arm64 1:2023.4.0
2023-12-04 09:43:28 status unpacked base-files:arm64 1:2023.4.0
2023-12-04 09:43:28 configure base-files:arm64 1:2023.4.0 1:2023.4.0
2023-12-04 09:43:28 status half-configured base-files:arm64 1:2023.4.0
2023-12-04 09:43:30 status installed base-files:arm64 1:2023.4.0
2023-12-04 09:43:30 startup archives install
2023-12-04 09:43:30 upgrade dpkg 1.22.1+kali1 1.22.1+kali1
2023-12-04 09:43:30 status half-configured dpkg 1.22.1+kali1
2023-12-04 09:43:30 status unpacked dpkg 1.22.1+kali1
2023-12-04 09:43:30 status half-installed dpkg 1.22.1+kali1
2023-12-04 09:43:31 status unpacked dpkg:arm64 1.22.1+kali1
2023-12-04 09:43:31 configure dpkg:arm64 1.22.1+kali1 1.22.1+kali1
2023-12-04 09:43:31 status half-configured dpkg:arm64 1.22.1+kali1
2023-12-04 09:43:38 status installed dpkg:arm64 1.22.1+kali1
2023-12-04 09:43:38 startup archives install
2023-12-04 09:43:38 install libc6:arm64 <none> 2.37-12
2023-12-04 09:43:38 status half-installed libc6:arm64 2.37-12
2023-12-04 09:43:44 status unpacked libc6:arm64 2.37-12
2023-12-04 09:43:44 configure libc6:arm64 2.37-12 2.37-12
2023-12-04 09:43:44 status half-configured libc6:arm64 2.37-12
2023-12-04 09:43:48 status installed libc6:arm64 2.37-12
2023-12-04 09:43:48 startup archives install
2023-12-04 09:43:48 install perl-base:arm64 <none> 5.36.0-9
2023-12-04 09:43:48 status half-installed perl-base:arm64 5.36.0-9
2023-12-04 09:43:50 status unpacked perl-base:arm64 5.36.0-9
2023-12-04 09:43:50 configure perl-base:arm64 5.36.0-9 5.36.0-9
2023-12-04 09:43:50 status half-configured perl-base:arm64 5.36.0-9
2023-12-04 09:43:50 status installed perl-base:arm64 5.36.0-9
2023-12-04 09:43:50 startup archives install
2023-12-04 09:43:50 install mawk:arm64 <none> 1.3.4.20231102-1
2023-12-04 09:43:50 status half-installed mawk:arm64 1.3.4.20231102-1
2023-12-04 09:43:50 status unpacked mawk:arm64 1.3.4.20231102-1
2023-12-04 09:43:50 configure mawk:arm64 1.3.4.20231102-1 1.3.4.20231102-1
2023-12-04 09:43:50 status half-configured mawk:arm64 1.3.4.20231102-1
2023-12-04 09:43:50 status installed mawk:arm64 1.3.4.20231102-1
2023-12-04 09:43:51 startup archives unpack
2023-12-04 09:43:51 install apt:arm64 <none> 2.7.6
2023-12-04 09:43:51 status half-installed apt:arm64 2.7.6
2023-12-04 09:43:52 status unpacked apt:arm64 2.7.6
2023-12-04 09:43:52 upgrade base-files:arm64 1:2023.4.0 1:2023.4.0
2023-12-04 09:43:52 status half-configured base-files:arm64 1:2023.4.0
2023-12-04 09:43:52 status unpacked base-files:arm64 1:2023.4.0
2023-12-04 09:43:52 status half-installed base-files:arm64 1:2023.4.0
2023-12-04 09:43:52 status unpacked base-files:arm64 1:2023.4.0
2023-12-04 09:43:53 upgrade base-passwd:arm64 3.6.2 3.6.2
2023-12-04 09:43:53 status half-configured base-passwd:arm64 3.6.2
2023-12-04 09:43:53 status unpacked base-passwd:arm64 3.6.2
2023-12-04 09:43:53 status half-installed base-passwd:arm64 3.6.2
2023-12-04 09:43:53 status unpacked base-passwd:arm64 3.6.2
2023-12-04 09:43:53 install bash:arm64 <none> 5.2.21-2
2023-12-04 09:43:53 status half-installed bash:arm64 5.2.21-2
2023-12-04 09:43:54 status unpacked bash:arm64 5.2.21-2
2023-12-04 09:43:54 install bsdutils:arm64 <none> 1:2.39.2-6
2023-12-04 09:43:54 status half-installed bsdutils:arm64 1:2.39.2-6
2023-12-04 09:43:54 status unpacked bsdutils:arm64 1:2.39.2-6
2023-12-04 09:43:54 install coreutils:arm64 <none> 9.1-1
2023-12-04 09:43:54 status half-installed coreutils:arm64 9.1-1
2023-12-04 09:43:56 status unpacked coreutils:arm64 9.1-1
2023-12-04 09:43:56 install dash:arm64 <none> 0.5.12-6
2023-12-04 09:43:56 status half-installed dash:arm64 0.5.12-6
2023-12-04 09:43:56 status unpacked dash:arm64 0.5.12-6
2023-12-04 09:43:56 install debconf:all <none> 1.5.82
2023-12-04 09:43:56 status half-installed debconf:all 1.5.82
2023-12-04 09:43:56 status unpacked debconf:all 1.5.82
2023-12-04 09:43:56 install debian-archive-keyring:all <none> 2023.4
2023-12-04 09:43:56 status half-installed debian-archive-keyring:all 2023.4
2023-12-04 09:43:59 status unpacked debian-archive-keyring:all 2023.4
2023-12-04 09:43:59 install debianutils:arm64 <none> 5.14
2023-12-04 09:43:59 status half-installed debianutils:arm64 5.14
2023-12-04 09:43:59 status unpacked debianutils:arm64 5.14
2023-12-04 09:43:59 install diffutils:arm64 <none> 1:3.10-1
2023-12-04 09:43:59 status half-installed diffutils:arm64 1:3.10-1
2023-12-04 09:43:59 status unpacked diffutils:arm64 1:3.10-1
2023-12-04 09:43:59 upgrade dpkg:arm64 1.22.1+kali1 1.22.1+kali1
2023-12-04 09:43:59 status half-configured dpkg:arm64 1.22.1+kali1
2023-12-04 09:43:59 status unpacked dpkg:arm64 1.22.1+kali1
2023-12-04 09:43:59 status half-installed dpkg:arm64 1.22.1+kali1
2023-12-04 09:44:00 status unpacked dpkg:arm64 1.22.1+kali1
2023-12-04 09:44:00 install e2fsprogs:arm64 <none> 1.47.0-2+b1
2023-12-04 09:44:00 status half-installed e2fsprogs:arm64 1.47.0-2+b1
2023-12-04 09:44:01 status unpacked e2fsprogs:arm64 1.47.0-2+b1
2023-12-04 09:44:01 install findutils:arm64 <none> 4.9.0-5
2023-12-04 09:44:01 status half-installed findutils:arm64 4.9.0-5
2023-12-04 09:44:01 status unpacked findutils:arm64 4.9.0-5
2023-12-04 09:44:01 install gcc-13-base:arm64 <none> 13.2.0-5
2023-12-04 09:44:01 status half-installed gcc-13-base:arm64 13.2.0-5
2023-12-04 09:44:01 status unpacked gcc-13-base:arm64 13.2.0-5
2023-12-04 09:44:02 install gpgv:arm64 <none> 2.2.40-1.1
2023-12-04 09:44:02 status half-installed gpgv:arm64 2.2.40-1.1
2023-12-04 09:44:02 status unpacked gpgv:arm64 2.2.40-1.1
2023-12-04 09:44:02 install grep:arm64 <none> 3.11-3
2023-12-04 09:44:02 status half-installed grep:arm64 3.11-3
2023-12-04 09:44:02 status unpacked grep:arm64 3.11-3
2023-12-04 09:44:02 install gzip:arm64 <none> 1.12-1
2023-12-04 09:44:02 status half-installed gzip:arm64 1.12-1
2023-12-04 09:44:02 status unpacked gzip:arm64 1.12-1
2023-12-04 09:44:03 install hostname:arm64 <none> 3.23+nmu1
2023-12-04 09:44:03 status half-installed hostname:arm64 3.23+nmu1
2023-12-04 09:44:03 status unpacked hostname:arm64 3.23+nmu1
2023-12-04 09:44:03 install init-system-helpers:all <none> 1.65.2+kali2
2023-12-04 09:44:03 status half-installed init-system-helpers:all 1.65.2+kali2
2023-12-04 09:44:03 status unpacked init-system-helpers:all 1.65.2+kali2
2023-12-04 09:44:03 install libacl1:arm64 <none> 2.3.1-3
2023-12-04 09:44:03 status half-installed libacl1:arm64 2.3.1-3
2023-12-04 09:44:03 status unpacked libacl1:arm64 2.3.1-3
2023-12-04 09:44:03 install libapt-pkg6.0:arm64 <none> 2.7.6
2023-12-04 09:44:03 status half-installed libapt-pkg6.0:arm64 2.7.6
2023-12-04 09:44:04 status unpacked libapt-pkg6.0:arm64 2.7.6
2023-12-04 09:44:04 install libattr1:arm64 <none> 1:2.5.1-4
2023-12-04 09:44:04 status half-installed libattr1:arm64 1:2.5.1-4
2023-12-04 09:44:04 status unpacked libattr1:arm64 1:2.5.1-4
2023-12-04 09:44:04 install libaudit-common:all <none> 1:3.1.1-1
2023-12-04 09:44:04 status half-installed libaudit-common:all 1:3.1.1-1
2023-12-04 09:44:04 status unpacked libaudit-common:all 1:3.1.1-1
2023-12-04 09:44:05 install libaudit1:arm64 <none> 1:3.1.1-1
2023-12-04 09:44:05 status half-installed libaudit1:arm64 1:3.1.1-1
2023-12-04 09:44:05 status unpacked libaudit1:arm64 1:3.1.1-1
2023-12-04 09:44:05 install libblkid1:arm64 <none> 2.39.2-6
2023-12-04 09:44:05 status half-installed libblkid1:arm64 2.39.2-6
2023-12-04 09:44:05 status unpacked libblkid1:arm64 2.39.2-6
2023-12-04 09:44:05 install libbz2-1.0:arm64 <none> 1.0.8-5+b1
2023-12-04 09:44:05 status half-installed libbz2-1.0:arm64 1.0.8-5+b1
